source_id,source_project,source_schema,source_object_type,target_catalog,target_schema,target_table,target_fqn,layer,layer_subcategory,rationale
OLTP:Application.DetermineCustomerAccess,OLTP,Application,TVF_INLINE,wwi_<env>,bronze,application__determinecustomeraccess,wwi_<env>.bronze.application__determinecustomeraccess,BRONZE,,Default mapping for OLTP.TVF_INLINE objects based on existing schema-to-layer convention.
OLTP:Application.Cities,OLTP,Application,TABLE,wwi_<env>,bronze,application__cities,wwi_<env>.bronze.application__cities,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Cities_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__cities_archive,wwi_<env>.bronze.application__cities_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Countries,OLTP,Application,TABLE,wwi_<env>,bronze,application__countries,wwi_<env>.bronze.application__countries,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Countries_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__countries_archive,wwi_<env>.bronze.application__countries_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.DeliveryMethods,OLTP,Application,TABLE,wwi_<env>,bronze,application__deliverymethods,wwi_<env>.bronze.application__deliverymethods,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.DeliveryMethods_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__deliverymethods_archive,wwi_<env>.bronze.application__deliverymethods_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Logs,OLTP,Application,TABLE,wwi_<env>,bronze,application__logs,wwi_<env>.bronze.application__logs,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.PaymentMethods,OLTP,Application,TABLE,wwi_<env>,bronze,application__paymentmethods,wwi_<env>.bronze.application__paymentmethods,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.PaymentMethods_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__paymentmethods_archive,wwi_<env>.bronze.application__paymentmethods_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.People,OLTP,Application,TABLE,wwi_<env>,bronze,application__people,wwi_<env>.bronze.application__people,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.People_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__people_archive,wwi_<env>.bronze.application__people_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.StateProvinces,OLTP,Application,TABLE,wwi_<env>,bronze,application__stateprovinces,wwi_<env>.bronze.application__stateprovinces,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.StateProvinces_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__stateprovinces_archive,wwi_<env>.bronze.application__stateprovinces_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.SystemParameters,OLTP,Application,TABLE,wwi_<env>,bronze,application__systemparameters,wwi_<env>.bronze.application__systemparameters,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.TransactionTypes,OLTP,Application,TABLE,wwi_<env>,bronze,application__transactiontypes,wwi_<env>.bronze.application__transactiontypes,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.TransactionTypes_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__transactiontypes_archive,wwi_<env>.bronze.application__transactiontypes_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:DataLoadSimulation.AreaCode,OLTP,DataLoadSimulation,TABLE,wwi_<env>,bronze,dataloadsimulation__areacode,wwi_<env>.bronze.dataloadsimulation__areacode,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:DataLoadSimulation.ColdRoomTemperatures_temp,OLTP,DataLoadSimulation,TABLE,wwi_<env>,bronze,dataloadsimulation__coldroomtemperatures_temp,wwi_<env>.bronze.dataloadsimulation__coldroomtemperatures_temp,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:DataLoadSimulation.FicticiousNamePool,OLTP,DataLoadSimulation,TABLE,wwi_<env>,bronze,dataloadsimulation__ficticiousnamepool,wwi_<env>.bronze.dataloadsimulation__ficticiousnamepool,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:DataLoadSimulation.SeasonVariation,OLTP,DataLoadSimulation,TABLE,wwi_<env>,bronze,dataloadsimulation__seasonvariation,wwi_<env>.bronze.dataloadsimulation__seasonvariation,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.PurchaseOrderLines,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__purchaseorderlines,wwi_<env>.bronze.purchasing__purchaseorderlines,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.PurchaseOrders,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__purchaseorders,wwi_<env>.bronze.purchasing__purchaseorders,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.SupplierCategories,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__suppliercategories,wwi_<env>.bronze.purchasing__suppliercategories,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.SupplierCategories_Archive,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__suppliercategories_archive,wwi_<env>.bronze.purchasing__suppliercategories_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.SupplierTransactions,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__suppliertransactions,wwi_<env>.bronze.purchasing__suppliertransactions,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.Suppliers,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__suppliers,wwi_<env>.bronze.purchasing__suppliers,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Purchasing.Suppliers_Archive,OLTP,Purchasing,TABLE,wwi_<env>,bronze,purchasing__suppliers_archive,wwi_<env>.bronze.purchasing__suppliers_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.BuyingGroups,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__buyinggroups,wwi_<env>.bronze.sales__buyinggroups,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.BuyingGroups_Archive,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__buyinggroups_archive,wwi_<env>.bronze.sales__buyinggroups_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.CustomerCategories,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__customercategories,wwi_<env>.bronze.sales__customercategories,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.CustomerCategories_Archive,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__customercategories_archive,wwi_<env>.bronze.sales__customercategories_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.CustomerTransactions,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__customertransactions,wwi_<env>.bronze.sales__customertransactions,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.Customers,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__customers,wwi_<env>.bronze.sales__customers,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.Customers_Archive,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__customers_archive,wwi_<env>.bronze.sales__customers_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.InvoiceLines,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__invoicelines,wwi_<env>.bronze.sales__invoicelines,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.Invoices,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__invoices,wwi_<env>.bronze.sales__invoices,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.OrderLines,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__orderlines,wwi_<env>.bronze.sales__orderlines,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.Orders,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__orders,wwi_<env>.bronze.sales__orders,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Sales.SpecialDeals,OLTP,Sales,TABLE,wwi_<env>,bronze,sales__specialdeals,wwi_<env>.bronze.sales__specialdeals,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.ColdRoomTemperatures,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__coldroomtemperatures,wwi_<env>.bronze.warehouse__coldroomtemperatures,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.ColdRoomTemperatures_Archive,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__coldroomtemperatures_archive,wwi_<env>.bronze.warehouse__coldroomtemperatures_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.Colors,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__colors,wwi_<env>.bronze.warehouse__colors,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.Colors_Archive,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__colors_archive,wwi_<env>.bronze.warehouse__colors_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.PackageTypes,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__packagetypes,wwi_<env>.bronze.warehouse__packagetypes,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.PackageTypes_Archive,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__packagetypes_archive,wwi_<env>.bronze.warehouse__packagetypes_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockGroups,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockgroups,wwi_<env>.bronze.warehouse__stockgroups,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockGroups_Archive,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockgroups_archive,wwi_<env>.bronze.warehouse__stockgroups_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockItemHoldings,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockitemholdings,wwi_<env>.bronze.warehouse__stockitemholdings,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockItemStockGroups,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockitemstockgroups,wwi_<env>.bronze.warehouse__stockitemstockgroups,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockItemTransactions,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockitemtransactions,wwi_<env>.bronze.warehouse__stockitemtransactions,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockItems,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockitems,wwi_<env>.bronze.warehouse__stockitems,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.StockItems_Archive,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__stockitems_archive,wwi_<env>.bronze.warehouse__stockitems_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Warehouse.VehicleTemperatures,OLTP,Warehouse,TABLE,wwi_<env>,bronze,warehouse__vehicletemperatures,wwi_<env>.bronze.warehouse__vehicletemperatures,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:WebApi.BuyingGroups,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__buyinggroups,wwi_<env>.silver.webapi__buyinggroups,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Cities,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__cities,wwi_<env>.silver.webapi__cities,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Colors,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__colors,wwi_<env>.silver.webapi__colors,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Countries,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__countries,wwi_<env>.silver.webapi__countries,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.CustomerCategories,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__customercategories,wwi_<env>.silver.webapi__customercategories,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.CustomerTransactions,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__customertransactions,wwi_<env>.silver.webapi__customertransactions,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Customers,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__customers,wwi_<env>.silver.webapi__customers,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.DeliveryMethods,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__deliverymethods,wwi_<env>.silver.webapi__deliverymethods,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Invoices,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__invoices,wwi_<env>.silver.webapi__invoices,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.PackageTypes,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__packagetypes,wwi_<env>.silver.webapi__packagetypes,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.PaymentMethods,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__paymentmethods,wwi_<env>.silver.webapi__paymentmethods,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.PurchaseOrderLines,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__purchaseorderlines,wwi_<env>.silver.webapi__purchaseorderlines,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.PurchaseOrders,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__purchaseorders,wwi_<env>.silver.webapi__purchaseorders,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.SalesOrderLines,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__salesorderlines,wwi_<env>.silver.webapi__salesorderlines,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.SalesOrders,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__salesorders,wwi_<env>.silver.webapi__salesorders,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.SpecialDeals,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__specialdeals,wwi_<env>.silver.webapi__specialdeals,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.StateProvinces,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__stateprovinces,wwi_<env>.silver.webapi__stateprovinces,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.StockGroups,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__stockgroups,wwi_<env>.silver.webapi__stockgroups,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.StockItems,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__stockitems,wwi_<env>.silver.webapi__stockitems,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.SupplierCategories,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__suppliercategories,wwi_<env>.silver.webapi__suppliercategories,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.SupplierTransactions,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__suppliertransactions,wwi_<env>.silver.webapi__suppliertransactions,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.Suppliers,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__suppliers,wwi_<env>.silver.webapi__suppliers,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:WebApi.TransactionTypes,OLTP,WebApi,VIEW,wwi_<env>,silver,webapi__transactiontypes,wwi_<env>.silver.webapi__transactiontypes,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:Website.Customers,OLTP,Website,VIEW,wwi_<env>,silver,website__customers,wwi_<env>.silver.website__customers,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:Website.Suppliers,OLTP,Website,VIEW,wwi_<env>,silver,website__suppliers,wwi_<env>.silver.website__suppliers,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:Website.VehicleTemperatures,OLTP,Website,VIEW,wwi_<env>,silver,website__vehicletemperatures,wwi_<env>.silver.website__vehicletemperatures,SILVER,serving_passthrough,Derived/application-facing view over OLTP tables — becomes a Silver view once source tables are landed and conformed.
OLTP:dbo.SampleVersion,OLTP,dbo,TABLE,wwi_<env>,bronze,dbo__sampleversion,wwi_<env>.bronze.dbo__sampleversion,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
DW:Dimension.City,DW,Dimension,TABLE,wwi_<env>,silver,city,wwi_<env>.silver.city,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Customer,DW,Dimension,TABLE,wwi_<env>,silver,customer,wwi_<env>.silver.customer,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Date,DW,Dimension,TABLE,wwi_<env>,silver,date,wwi_<env>.silver.date,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Employee,DW,Dimension,TABLE,wwi_<env>,silver,employee,wwi_<env>.silver.employee,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Payment,DW,Dimension,TABLE,wwi_<env>,silver,payment,wwi_<env>.silver.payment,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Stock,DW,Dimension,TABLE,wwi_<env>,silver,stock,wwi_<env>.silver.stock,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Supplier,DW,Dimension,TABLE,wwi_<env>,silver,supplier,wwi_<env>.silver.supplier,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Dimension.Transaction,DW,Dimension,TABLE,wwi_<env>,silver,transaction,wwi_<env>.silver.transaction,SILVER,conformed,"Conformed, deduplicated, SCD2-tracked business entity — Silver layer by definition."
DW:Fact.Movement,DW,Fact,TABLE,wwi_<env>,gold,movement,wwi_<env>.gold.movement,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Fact.Order,DW,Fact,TABLE,wwi_<env>,gold,order,wwi_<env>.gold.order,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Fact.Purchase,DW,Fact,TABLE,wwi_<env>,gold,purchase,wwi_<env>.gold.purchase,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Fact.Sale,DW,Fact,TABLE,wwi_<env>,gold,sale,wwi_<env>.gold.sale,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Fact.Stock,DW,Fact,TABLE,wwi_<env>,gold,stock,wwi_<env>.gold.stock,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Fact.Transaction,DW,Fact,TABLE,wwi_<env>,gold,transaction,wwi_<env>.gold.transaction,GOLD,,Aggregated/measure-grained table joined against conformed dimensions — Gold serving layer.
DW:Integration.GenerateDateDimensionColumns,DW,Integration,TVF_INLINE,wwi_<env>,bronze,generatedatedimensioncolumns,wwi_<env>.bronze.generatedatedimensioncolumns,BRONZE,,Default mapping for DW.TVF_INLINE objects based on existing schema-to-layer convention.
DW:Integration.City_Staging,DW,Integration,TABLE,wwi_<env>,bronze,city_staging,wwi_<env>.bronze.city_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Customer_Staging,DW,Integration,TABLE,wwi_<env>,bronze,customer_staging,wwi_<env>.bronze.customer_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.ETL,DW,Integration,TABLE,wwi_<env>,bronze,etl,wwi_<env>.bronze.etl,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Employee_Staging,DW,Integration,TABLE,wwi_<env>,bronze,employee_staging,wwi_<env>.bronze.employee_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Lineage,DW,Integration,TABLE,wwi_<env>,bronze,lineage,wwi_<env>.bronze.lineage,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Movement_Staging,DW,Integration,TABLE,wwi_<env>,bronze,movement_staging,wwi_<env>.bronze.movement_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Order_Staging,DW,Integration,TABLE,wwi_<env>,bronze,order_staging,wwi_<env>.bronze.order_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.PaymentMethod_Staging,DW,Integration,TABLE,wwi_<env>,bronze,paymentmethod_staging,wwi_<env>.bronze.paymentmethod_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Purchase_Staging,DW,Integration,TABLE,wwi_<env>,bronze,purchase_staging,wwi_<env>.bronze.purchase_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Sale_Staging,DW,Integration,TABLE,wwi_<env>,bronze,sale_staging,wwi_<env>.bronze.sale_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.StockHolding_Staging,DW,Integration,TABLE,wwi_<env>,bronze,stockholding_staging,wwi_<env>.bronze.stockholding_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.StockItem_Staging,DW,Integration,TABLE,wwi_<env>,bronze,stockitem_staging,wwi_<env>.bronze.stockitem_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Supplier_Staging,DW,Integration,TABLE,wwi_<env>,bronze,supplier_staging,wwi_<env>.bronze.supplier_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.TransactionType_Staging,DW,Integration,TABLE,wwi_<env>,bronze,transactiontype_staging,wwi_<env>.bronze.transactiontype_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:Integration.Transaction_Staging,DW,Integration,TABLE,wwi_<env>,bronze,transaction_staging,wwi_<env>.bronze.transaction_staging,BRONZE,,"Existing staging table — Bronze landing zone for the per-entity incremental extract, truncate-and-load preserved as overwrite-mode Delta write."
DW:dbo.SampleVersion,DW,dbo,TABLE,wwi_<env>,bronze,sampleversion,wwi_<env>.bronze.sampleversion,BRONZE,,Default mapping for DW.TABLE objects based on existing schema-to-layer convention.
