finding_id,category,title,severity,automation_stance,status,verification,evidence,impact,mitigation,affected_object_count,affected_object_examples
F1,unsupported_t_sql_functions,OPENJSON undetected by any pattern list,CRITICAL,STOP,FIXED,"Re-ran full pipeline: 38/38 OPENJSON procedures now have needs_review=True, classification=MANUAL_REDESIGN, routed to PySpark with explicit OPENJSON warning and original T-SQL preserved","38 procedures use OPENJSON; output/databricks_sql/silver/webapi__insertcitiesfromjson.sql contained no executable SQL, needs_review=False","Converted file silently does nothing at runtime; no signal anywhere flags the problem","Added OPENJSON pattern to _COMPLEXITY_PATTERNS (sql_project_parser.py) and _DIALECT_PATTERNS (impact_analysis.py); added explicit OPENJSON procedural-factor detection in convert_procedure (sql_converter.py) forcing PySpark routing + needs_review=True",38,"WebApi.InsertCitiesFromJson; WebApi.InsertBuyingGroupsFromJson; WebApi.UpdateCityFromJson"
F2,naive_spark_translation,Empty-bodied conversions pass through as needs_review=False,CRITICAL,STOP,FIXED,"Verified via run_conversion.py: any LIFT_AND_SHIFT/PARTIAL_AUTOMATION procedure where _extract_core_dml finds zero statements now returns needs_review=True with an explicit MANUAL REVIEW REQUIRED warning instead of a silent empty file","Same as F1 -- generalized: any object where _extract_core_dml finds zero statements still reported needs_review=False if no other risk pattern matched",Silent no-op deployment,"Added a safety-net branch in convert_procedure (sql_converter.py): if core_dml is empty, force needs_review=True and emit a warning stating the file is NOT a safe empty conversion, regardless of why extraction failed",38,"Same 38 OPENJSON procedures (also protects against any future unrecognised construct, not just OPENJSON)"
F3,temp_tables,Temp-table regex \b#\w+\b never matches due to word-boundary bug,HIGH,WARN,FIXED,"re.search(r'#\w+', 'CREATE TABLE #CityChanges...') now matches; re-ran pipeline -- OLTP/DW:Sequences.ReseedSequenceBeyondTableValues now show '#\w+(+1)' in complexity_factors (previously empty)",Pattern never matched in either sql_project_parser.py or impact_analysis.py -- corrected pattern r'#\w+' matches; 10 real temp-table users found vs 0 detected,Complexity/risk silently underscored for temp-table-only-risk objects,"Fixed both occurrences of the pattern (_COMPLEXITY_PATTERNS in sql_project_parser.py and _PROCEDURAL_PATTERNS in impact_analysis.py) from r'\b#\w+\b' to r'#\w+'",10,"Sequences.ReseedSequenceBeyondTableValues (OLTP and DW)"
F4,variable_scoping_issues,Shared mutable SSIS variable TableName conflicts with recommended parallelization,HIGH,WARN,FIXED,"Re-ran SSIS conversion: output/ssis_conversion_report.md now contains a 'Shared-Variable Scoping Hazards' table; correctly detected TableName (13 writers) and additionally caught TargetETLCutoffTime (2 writers, not explicitly named in the original finding)",User::TableName reassigned by 13 different 'Set TableName to X' tasks; target_state_architecture.md recommends parallel entity loads,Race condition if naively parallelized; previously the per-entity job-parameter design avoided it by accident not by detection,"Added detect_shared_variable_hazards() to ssis_converter.py: scans SSIS_EXPRESSION tasks for @[User::X]= assignments, flags any variable written by more than one task, surfaced in ssis_conversion_report.md",2,"User::TableName (13 writers); User::TargetETLCutoffTime (2 writers, newly discovered)"
F5,merge_semantics,MERGE against table variable with compound += assignment has no Spark MERGE INTO equivalent,HIGH,WARN,FIXED,"Verified against the real fixture: convert_procedure now emits both the MERGE-against-non-persistent-target warning and the compound-assignment warning for DataLoadSimulation.PickStockForCustomerOrders, in addition to the pre-existing CURSOR/WHILE warnings","DataLoadSimulation.PickStockForCustomerOrders: MERGE @StockAlreadyAllocated ... UPDATE SET saa.QuantityAllocated += sa.Quantity",Reviewer following the generic 'temp table' warning would attempt a literal MERGE INTO translation and hit unsupported syntax mid-implementation,"Added two new pattern checks in convert_procedure (sql_converter.py): MERGE-against-table-variable/temp-table detection, and compound-assignment-operator detection inside UPDATE SET, each with a specific rewrite recommendation",1,"DataLoadSimulation.PickStockForCustomerOrders"
F6,schema_drift_risks,FOR SYSTEM_TIME AS OF incorrectly equated to Delta TIMESTAMP AS OF in design docs,HIGH,STOP,FIXED,"Re-ran impact analysis and SQL conversion; verified the corrected text appears in outputs/impact_analysis.md Section 8 and in the per-column warning on every converted temporal table; confirmed via object_complexity_scores.json that 9 previously-unflagged temporal tables (e.g. Application.DeliveryMethods) now have needs_review=True because the corrected warning text includes the MANUAL REVIEW REQUIRED marker","GetCityUpdates uses FOR SYSTEM_TIME AS OF @ValidFrom 9 times per-row inside a CURSOR loop; target_state_architecture.md and conversion_decisions.md recommended Delta Time Travel as the replacement",Naive translation would have silently returned whole-table-snapshot rows instead of per-row historical validity windows -- a correctness bug invisible by inspection,"Retracted the Delta-Time-Travel equivalence claim in accelerator/analyzers/impact_analysis.py's Performance Risks section and accelerator/converters/sql_converter.py's system-versioned-column warning; both now state the correct target pattern (WHERE valid_from<=ts AND (valid_to>ts OR valid_to IS NULL)) and the warning now triggers needs_review on every temporal table, not just ones with another co-occurring risk",16,"Integration.GetCityUpdates and the analogous Get*Updates procedure for every temporal-tracked entity; 9 previously-unflagged temporal tables now correctly flagged"
F7,hidden_dependencies,Dynamic SQL would be invisible to static dependency graph,MEDIUM,CONTINUE,NOT FIXED (by design),"No code change -- automation stance is CONTINUE because zero instances exist in this corpus; documented as a porting risk instead","Zero sp_executesql/dynamic EXEC() instances found in this corpus; dependency_graph.py extracts references via static regex only",No active impact today; would silently produce an incomplete dependency graph and wrong topological order/blast radius if dynamic SQL existed,"Left as a documented forward-looking risk in adversarial_review.md rather than adding speculative code for a construct not present in any object today -- revisit if this accelerator is ported to a source repo that does use dynamic SQL",0,"None in current corpus -- forward-looking risk"
F8,restartability_gaps,No cross-entity atomicity boundary on partial job failure,MEDIUM,WARN,FIXED (documentation),"Added Section 5 'Cross-entity consistency during partial failures' to deploy/rollback.md, including a concrete mitigation pattern (last-fully-consistent-run watermark tag) for consumers needing point-in-time consistency",13 independent entity-load task chains; repair-run correctly resumes only the failed entity but leaves a point-in-time-inconsistent cross-entity snapshot visible to downstream consumers,Downstream Gold-layer reports joining multiple entities could read a mixed-watermark snapshot during/after a partial failure window,"Documented as an inherited operational risk in deploy/rollback.md with a concrete mitigation pattern; this is an operational/architectural risk, not a code defect, so the fix is documentation plus a recommended pattern rather than a code change",13,"All 13 entity load chains (City, Customer, Date, Employee, Movement, Order, Payment Method, Purchase, Sale, Stock Holding, Stock Item, Supplier, Transaction, Transaction Type)"
F9,schema_drift_risks,parse_sqlproj silently drops duplicate-defined objects with no log,MEDIUM,WARN,FIXED,"Re-ran full pipeline -- no behavior change for this corpus (0 duplicate-defined objects, as expected), but verified the new code path via direct unit reasoning: duplicate definitions now attach a duplicate_definition_files list to the kept object instead of vanishing, and inventory_builder surfaces it as a manual_steps entry",seen_ids dedup in sql_project_parser.py silently discarded duplicate-id files with no logging; zero ALTER-only files exist in current corpus so this path was untriggered,Future source repos that split CREATE/ALTER across files would silently lose schema changes with zero trace anywhere,"Changed parse_sqlproj's dedup logic to record dropped duplicate file paths on the kept object (duplicate_definition_files field) instead of discarding silently; inventory_builder._normalise_sql_object now adds a manual_steps entry whenever this field is present",0,"None in current corpus -- guard is in place and tested against the no-duplicates case; would activate on first future occurrence"
F10,naming_collisions_unity_catalog,Medallion mapping naming convention has no collision guard,LOW,CONTINUE,FIXED,"Re-ran run_target_state_design.py: collision guard executed against all 112 mapped objects with zero collisions, completing successfully; guard code path verified to raise ValueError on collision via code review of the comparison logic",All 112 target_fqn values in medallion_mapping.csv verified unique today; DW objects drop schema prefix by design asymmetric vs OLTP objects which keep it,No active collision; a future DW schema addition sharing a table name with an existing same-layer schema would have silently merged two source objects into one target table,Added a hard uniqueness check at the end of build_medallion_mapping (target_state_design.py) that raises ValueError listing every colliding pair if any two source objects resolve to the same target_fqn,0,"None in current corpus -- guard now active and verified to pass cleanly"
F11,mismatched_medallion_placement,Sequences mapped to BRONZE despite having no medallion data lifecycle,MEDIUM,WARN,FIXED,"Re-ran pipeline: inventory.json medallion_layer distribution now shows INFRASTRUCTURE: 38 (previously folded into BRONZE: 308); medallion_mapping.csv unaffected since SEQUENCE was already excluded from it by object-type filter",_assign_layer had no SEQUENCE entry and fell through to default BRONZE for all 34 SEQUENCE objects (38 once USER_DEFINED_TYPE objects are included); code-mapping table separately recommends GENERATED ALWAYS AS IDENTITY instead of porting the sequence object,Implied an inflated Bronze migration scope in inventory-level reporting/counts,Added a new INFRASTRUCTURE medallion_layer value in _assign_layer (inventory_builder.py) for SEQUENCE and USER_DEFINED_TYPE object types instead of defaulting them into BRONZE,38,"Sequences schema objects across OLTP and DW (e.g. Sequences.CityID) plus USER_DEFINED_TYPE objects"
F12,mismatched_medallion_placement,WebApi/Website pass-through CRUD objects labeled Silver alongside true conformed Silver objects,MEDIUM,WARN,FIXED,"Re-ran target-state design: medallion_mapping.csv now has a layer_subcategory column; verified 26 objects tagged serving_passthrough and 8 tagged conformed (remaining Silver-eligible rows are non-OLTP or have no subcategory yet)",74 WebApi/Website procedures and views mapped to SILVER; WebApi.Cities is a plain SELECT over Application.Cities with no joins or transformation vs Dimension.City's real SCD2 conformance also labeled SILVER,Conflated two different categories of migration work under one layer label,Added _layer_subcategory() in inventory_builder.py distinguishing 'serving_passthrough' (WebApi/Website schemas) from 'conformed' (true Silver objects); surfaced as a new layer_subcategory column in medallion_mapping.csv,34,"WebApi.Cities; WebApi.Customers; Website.VehicleTemperatures (serving_passthrough); Dimension.City etc. (conformed)"
F13,warehouse_objects_should_remain_sql,PySpark-only conversion loses inline-SQL-callable shape for business-rule functions,MEDIUM,WARN,FIXED,"Verified against the real fixture: convert_function's PySpark stub for Website.CalculateCustomerPrice now includes a spark.udf.register() call and an explanatory comment, plus a tracked warning describing the registration",Website.CalculateCustomerPrice correctly routed to PySpark stub for its procedural complexity but original callers invoke it inline inside T-SQL SELECT statements; no spark.udf.register step was emitted,Every caller site would have needed rewriting to either pre-compute and join or manually register as a UDF -- not mentioned anywhere in generated output,Added an explicit spark.udf.register(...) block and explanatory comment to the PySpark function stub in convert_function (sql_converter.py) plus a new tracked warning describing why the registration preserves SQL-callability,1,"Website.CalculateCustomerPrice"
F14,naive_spark_translation,ISNULL to COALESCE rewrite changes type-coercion semantics for mismatched argument types,LOW,CONTINUE,NOT FIXED (by design),"No code change -- automation stance is CONTINUE; no confirmed instance of actual harm found in this corpus after spot-checking",_SYNTAX_REWRITES mechanically rewrites ISNULL( to COALESCE( with no type check; ISNULL returns first-arg's type COALESCE returns highest-precedence type among all arguments,No confirmed instance of actual harm in this corpus (mostly matched-type usages); would be silent for mismatched-type cases if they existed,Left as a documented low-priority improvement in adversarial_review.md rather than adding a heuristic type-mismatch check for a risk with no confirmed real instance,0,"No confirmed harmful instance found -- spot-checked clean"
F15,naive_spark_translation,Generic TOP/LIMIT non-determinism warning emitted unconditionally regardless of actual TOP usage,LOW,CONTINUE,FIXED,"Verified via convert_view: the warning now only appears when TOP( is present without ORDER BY in the specific view body, and now contributes to needs_review when it fires (previously it was header-only boilerplate that never affected the disposition)","Warning text was identical and always present on every converted view, whether or not TOP was used or an ORDER BY already existed",Trained reviewers to ignore the warning as boilerplate noise rather than a genuine signal,Made the warning conditional on actual TOP-without-ORDER-BY detection in convert_view (sql_converter.py); it is now a tracked warning contributing to needs_review rather than static header text,0,"All converted views -- warning now fires only when genuinely applicable"
